,GL,Reduction text
0,2201.0,Freight
1,2201.0,Freight
2,2201.0,Freight
3,2201.0,Freight
4,2201.0,ESTIMATED shipping costs
5,2201.0,Freight For
6,2201.0,Freight
7,2201.0,Frieght
8,2201.0,Freight Charges
9,2201.0,Freight
10,2201.0,Freight
11,2201.0,Freight
12,2201.0,Freight Charges MBW
13,2201.0,Freight
14,2201.0,Freight
15,2201.0,Freight
16,2201.0,Freight Charges
17,2201.0,Freight Charges
18,2201.0,Freight
19,2201.0,Freight
20,2201.0,Freight
21,2201.0,Freight Charges
22,2201.0,Freight Charges
23,2201.0,Freight
24,2201.0,Freight
25,2201.0,Freight
26,2201.0,Freight Charges
27,2201.0,Freight
28,2201.0,Freight
29,2201.0,Freight
30,2201.0,Freight
31,2201.0,Freight
32,2201.0,Freight
33,2201.0,Freight
34,2201.0,Freight
35,2201.0,Freight Charges
36,2201.0,Freight
37,2201.0,Freight
38,2201.0,Freight
39,2201.0,Freight
40,2201.0,Freight
41,2201.0,Freight
42,2201.0,Freight Charges
43,2201.0,Freight
44,2201.0,Freight
45,2201.0,Freight
46,2201.0,Freight
47,2201.0,MBW Freight Charges
48,2201.0,Freight
49,2201.0,Freight Charges MBW
50,2201.0,Freight
51,2201.0,Freight
52,2201.0,Freight
53,2201.0,Freight
54,2201.0,estimated shipping costs
55,2201.0,Freight Charges
56,2201.0,Freight Charges MBW
57,2201.0,Freight - estimated cost
58,2201.0,Freight Charges
59,2201.0,Shipping
60,2201.0,Freight
61,2201.0,Freight
62,2201.0,Freight
63,2201.0,Freight
64,2201.0,Freight
65,2201.0,Freight Charges MBW
66,2201.0,Freight / Cost of Shipping
67,2201.0,Freight
68,2201.0,Freight
69,2201.0,Freight Charges
70,2201.0,Freight charges
71,2201.0,Kneel Pad    MAT13
72,2201.0,Freight
73,2201.0,freight Charges
74,2201.0,Freight
75,2201.0,Freight
76,2201.0,Freight
77,2201.0,Freight Charges
78,2201.0,Freight
79,2201.0,Freight
80,2201.0,Freight Charges
81,2201.0,Freight
82,2201.0,Freight
83,2201.0,Freight
84,2201.0,Freight Charges
85,2201.0,Freight
86,2201.0,Freight
87,2201.0,Freight
88,2201.0,Freight Charges
89,2201.0,Freight
90,2201.0,Freight
91,2201.0,Freight
92,2201.0,Freight
93,2201.0,Freight
94,2201.0,Freight Charges
95,2201.0,Freight
96,2201.0,Freight Charges
97,2201.0,Freight Charges
98,2201.0,Freight Charges
99,2201.0,freight
100,2201.0,Freight Charges
101,2201.0,Freight
102,2201.0,Freight Charges MBW
103,2201.0,Freight
104,2201.0,Shipping For Degreaser
105,2201.0,Freight
106,2201.0,Freight
107,2201.0,Freight
108,2201.0,Freight
109,2201.0,Freight Charges MBW
110,2201.0,Freight
111,2201.0,Freight
112,2201.0,Freight
113,7208.0,8 Hanger Stock (Paints)
114,7208.0,Paints/Chemicals
115,7208.0,Paints
116,7208.0,SIKAFLEX 221 White 300 ml
117,7208.0,Paint & Chemical
118,7208.0,Javex 4 X 4L
119,7208.0,Butane as per quote
120,7208.0,"Pipe sealer, Loctite, Gasket Remover"
121,7208.0,Paints and Sprays
122,7208.0,Brake Kleen
123,7208.0,Safe Tube
124,7208.0,Super Glue
125,7208.0,8 Hanger Chemical
126,7208.0,"Paint, Loctite, De-icer"
127,7208.0,"Degreaser, Butane as per quote"
128,7208.0,Loctite
129,7208.0,Paint
130,7208.0,Resin as per quote
131,7208.0,Paint as per quote
132,7208.0,Paint as per quote
133,7208.0,Paints/Chemicals
134,7208.0,8 Hanger Stock (Paints)
135,7208.0,Spray Lubs as per quote
136,7208.0,Aerosols as per quote
137,7208.0,"Filler, Hardener as per quote"
138,7208.0,Solvents as per quote
139,7208.0,Rock N Roll Paste
140,7208.0,Aerosol Chemical as per quote
141,7208.0,paints & Oils as per Quote
142,7208.0,Paints/Chemicals
143,7208.0,8 Hanger Paints & Oils
144,7208.0,spray paint cans
145,7208.0,Bulk Grease Silicone as per quote
146,7208.0,Insect Repellant
147,7208.0,Spray lubricants
148,7208.0,Spider Fiberglass
149,7208.0,Acetone as per quote
150,7208.0,"Brake Lube, Krown T-40 as per quote"
151,7208.0,"Paint, Loctite, De-icer"
152,7208.0,Seal Compound
153,7208.0,spray paint cans
154,7208.0,Chemical Stock
155,7208.0,"Loctite, Aerosols as per quote"
156,7208.0,Paints/Chemicals
157,7208.0,paints & Oils as per Quote
158,7208.0,Bedrock Boxliner Kit
159,7208.0,Resin as per quote
160,7208.0,Rust Prevent DOM16Q
161,7208.0,"Loctite, Brake Clean"
162,7208.0,Sealant as per quote
163,7208.0,Brake Cleaner
164,7208.0,SIKAFLEX 221 White 300 ml
165,7208.0,Aerosol Chemicals as per quote
166,7208.0,Paints as per quote
167,7208.0,Solvents as per quote
168,7208.0,Fluid Film
169,7208.0,Loctite
170,7208.0,Paints & Oils Stock
171,7208.0,8 Hanger Chemical
172,7208.0,Goo Gone Adhesive Remover
173,7208.0,Car Cleaning Supplies
174,7208.0,Loctite as per quote
175,7208.0,8 Hanger Stock ( Paints & Chem )
176,7208.0,Loctite
177,7208.0,Aerosol Chemicals as per quote
178,7208.0,Spider Fiberglass
179,7208.0,Aerosols as per quote
180,7208.0,Aerosol Chemicals as per quote
181,7208.0,Paint
182,7208.0,Paint as per quote
183,7208.0,Paints/Chemicals
184,7208.0,Paints
185,7208.0,NDT Chemicals
186,7208.0,"Loctite, Grease, Degreaser"
187,7208.0,"Loctite, Paint as per quote"
188,7208.0,Pipe Sealer
189,7208.0,Aerosol Chemicals as per quote
190,7208.0,Paint
191,7208.0,Insect Repellant
192,7208.0,Paint order as per Quote
193,7208.0,Fluid Film
194,7208.0,Aerosols as per quote
195,7208.0,Spray Paint as per quote
196,7208.0,Paint ture blue P/N:05163947AB
197,7208.0,E Weld Nozzle
198,7208.0,"Super Glue, Degreaser"
199,7208.0,Paint & Chemical
200,7208.0,E Weld Nozzle
201,7208.0,Paint ture blue P/N:05163947AB
202,7208.0,Bulk Lubricants 8 Hangar
203,7208.0,Chemical Order
204,7208.0,Aerosol Chemical as per quote
205,7208.0,Loctite
206,7208.0,"Degreaser, Cutting Fluid, Lithium Grease"
207,7208.0,Paints
208,7208.0,Pipe Sealer
209,7208.0,Welding Jacket L
210,7208.0,Painting Supplies
211,7208.0,Paints/Chemicals
212,7208.0,Bulk Lubricants 8 Hangar
213,7208.0,Paints as per quote
214,7208.0,Loctite
215,7208.0,Butane as per quote
216,7208.0,Sunscreen
217,7208.0,Aerosols as per quote
218,7208.0,Sealer P/N:05010884AD
219,7208.0,Paint
220,7208.0,Brake Cleaner
221,7208.0,"Pipe sealer, Loctite, Gasket Remover"
222,7208.0,Loctite
223,7208.0,Paint as per quote
224,7208.0,Spray lubricants
225,7208.0,Chemical Order
226,7209.0,Nitrile Gloves as per quote
227,7209.0,Protective Gloves
228,7209.0,Works Hand Cleaner
229,7209.0,Gloves
230,7209.0,Eyewash  Stations
231,7209.0,Ear Plugs as per quote
232,7209.0,Rubber Gloves as per quote
233,7209.0,Chem Resistant Gloves as per quote
234,7209.0,M-Pact Gloves as per quote
235,7209.0,Safety Glasses
236,7209.0,Rubber Gloves
237,7209.0,Rubber Gloves
238,7209.0,Gloves Mecanix Wear
239,7209.0,Mechanic Gloves
240,7209.0,Rubber Gloves as per quote
241,7209.0,AED replacement pads as per quote
242,7209.0,Welding Helmet
243,7209.0,Welding Beanie
244,7209.0,Ice Melt
245,7209.0,Safety Gloves & Glasses as per quote
246,7209.0,Welding Jacket Light Duty
247,7209.0,Safety Glasses
248,7209.0,Eyewash  Stations
249,7209.0,Natural Ice Melters
250,7209.0,Shovel
251,7209.0,Gloves
252,7209.0,Rubber Gloves
253,7209.0,Machanix Work Gloves
254,7209.0,Protective Clothing
255,7209.0,E650 Welding Helmat
256,7209.0,Dust Mask
257,7209.0,"True Grip tape 4"""
258,7209.0,"True Grip tape 4"""
259,7209.0,Rubber Gloves as per quote
260,7209.0,Safety Glasses
261,7209.0,Rubber Gloves as per quote
262,7209.0,Tyvel Coveralls
263,7209.0,PPE for Refueling Trans
264,7209.0,Gloves
265,7209.0,Leather Gloves as per quote
266,7209.0,"Gloves, Lens Cleaner"
267,7209.0,Gloves as per quote
268,7209.0,"Safety Glasses, Hemet As per quote"
269,7209.0,Rain Gear
270,7209.0,Protective Clothing
271,7209.0,N95 Particulate Mask
272,7209.0,Safty Bands and Harness
273,7209.0,Tig Gloves
274,7209.0,Safety Gloves & Glasses as per quote
275,7209.0,Gloves
276,7209.0,PPE as per quote
277,7209.0,Gloves As Per Quote
278,7209.0,Tig Glove
279,7209.0,Rubber Gloves as per quote
280,7209.0,Shovel
281,7209.0,"Gloves, Lens Cleaner"
282,7209.0,Mpact Work Glove
283,7209.0,Tyvel Coveralls
284,7209.0,Rubber Gloves as per quote
285,7209.0,E650 Welding Helmat
286,7209.0,Work Gloves Mpact
287,7209.0,Rain Gear
288,7209.0,Mechanix MPACT Glove
289,7209.0,Gloves as per quote
290,7209.0,Rubber gloves as per quote
291,7209.0,Work Gloves SAN423
292,7209.0,Eye Wash Saline
293,7209.0,Gloves as per quote
294,7209.0,Gloves Mecanix Wear
295,7209.0,Mecanix Wear Work Gloves
296,7209.0,Welding PPE
297,7209.0,Protective Clothing as per quote
298,7209.0,"Gloves, Paper Towl"
299,7209.0,Type 2 Hard Hats
300,7209.0,"Ear Defenders, Gloves as per quote"
301,7209.0,Welding Jacket Light
302,7209.0,Rubber Gloves as per Quote
303,7209.0,Rubber Gloves
304,7209.0,Rubber Gloves as per quote
305,7209.0,Gloves
306,7209.0,Protective Clothing as per quote
307,7209.0,Safety Glasses
308,7209.0,Gloves
309,7209.0,Unlined drivers Gloves
310,7209.0,Gloves
311,7209.0,Safety Glasses
312,7209.0,Rubber Gloves
313,7209.0,Shovel
314,7209.0,Rubber Gloves
315,7209.0,Resipirator Cleaning Wipes
316,7209.0,PPE
317,7209.0,Gloves as per quote
318,7209.0,"Facesheild, Gloves, Glasses"
319,7209.0,"Gloves, Lens Cleaner"
320,7209.0,Eye Glass Wipes
321,7209.0,Rubber Gloves as per quote
322,7209.0,Rubber Gloves
323,7209.0,Gloves as per quote
324,7209.0,Ice Melt
325,7209.0,Absorbent Pads
326,7209.0,Welding PPE
327,7209.0,Rubber Protective Gloves
328,7209.0,Rubber Gloves as per Quote
329,7209.0,Nitrile Gloves as per quote
330,7209.0,Safety Glasses
331,7209.0,Work Gloves Mpact
332,7209.0,Rubber Gloves as per quote
333,7209.0,Tig Glove
334,7209.0,Rubber Gloves as per quote
335,7209.0,Leather Gloves as per quote
336,7209.0,Rubber Gloves as per quote
337,7209.0,Wide Vision Headgear
338,7209.0,Welding PPE
339,7210.0,7 Hanger Stock
340,7210.0,"Spray Bottle, Snow Brush as per quote"
341,7210.0,Bulk Hardware 8 Hangar
342,7210.0,Grinder Disc as per quote
343,7210.0,Shear pin
344,7210.0,Bulk General Hardware
345,7210.0,8 Hanger Stock as per Quote
346,7210.0,8 Hanger Stock as per quote
347,7210.0,Zip Cut as per quote
348,7210.0,8 Hanger stock
349,7210.0,8 Hanger Stock
350,7210.0,21686 1 1/2 X 1 1/2 X 1/4 SS ANGLE TP304
351,7210.0,7 Hanger stock
352,7210.0,Gas Cans
353,7210.0,Dust Bane
354,7210.0,Bulk Hardware as per quote
355,7210.0,Bulk Hardware as per quote
356,7210.0,Fuses
357,7210.0,7 Hanger Stock
358,7210.0,General Hardware
359,7210.0,2x12x16 Spruce Rough
360,7210.0,Welding Rods as per quote
361,7210.0,Hardware
362,7210.0,8 Hanger Stock as per Quote
363,7210.0,Aluminum rivets
364,7210.0,Industrial Grade Tissue Paper
365,7210.0,plug 600v ( Female )
366,7210.0,7 Hanger Stock
367,7210.0,Machinist Cutters as per quote
368,7210.0,Bulk Hardware 7 Hangar
369,7210.0,8 Hanger Stock ( General )
370,7210.0,Casters    JCW80-4
371,7210.0,8 Hanger Stock
372,7210.0,Rags as per quote
373,7210.0,Bearings
374,7210.0,Hardware - 8 Hangar
375,7210.0,Caster w/HDWR   JCW70-4C
376,7210.0,Ball Lock Pins as per quote
377,7210.0,SHOP VAC 10 GALLONS
378,7210.0,3x - 2x12x16
379,7210.0,7 Hanger Stock
380,7210.0,Bulk Hardware as per quote
381,7210.0,Binding
382,7210.0,Mounted Points Die Grinder as per quote
383,7210.0,General Hardware
384,7210.0,Material Stock
385,7210.0,8 Hanger Stock ( General )
386,7210.0,Wire Wheels as per quote
387,7210.0,GSE/AMSE Stock
388,7210.0,Zep Super Flash
389,7210.0,Key Blanks
390,7210.0,Rags
391,7210.0,Bulk Hardware as per quote
392,7210.0,Hardware - 8 Hangar
393,7210.0,gorilla tough tape
394,7210.0,Engraving Supplies
395,7210.0,Scrapper
396,7210.0,H-Duty Platform Truck
397,7210.0,Bulk Hardware 7 Hangar
398,7210.0,Bulk Hardware 7 Hangar
399,7210.0,General Hardware
400,7210.0,Lock and Lock pick as per quote
401,7210.0,Worx Hand Cleaner
402,7210.0,Carbide Burs as per quote
403,7210.0,"Hydrolic Hose 3/8"""
404,7210.0,Bulk Hardware as per quote
405,7210.0,Bulk Hardware as per quote
406,7210.0,Bulk Hardware
407,7210.0,Plug 600v ( Male)
408,7210.0,SPV Stock
409,7210.0,Bulk Hardware 7 Hangar
410,7210.0,"Mig Wire, Tape, Brush, Guard as per quot"
411,7210.0,8 Hanger Stock
412,7210.0,light bulbs
413,7210.0,8 Hanger Stock as per quote
414,7210.0,HI-CNT 60SER LED Red
415,7210.0,"Shovel 14"" Blade Wood"
416,7210.0,O-Ring Kit
417,7210.0,Bulk Hardware 7 Hangar
418,7210.0,7 Hanger Stock as per quote
419,7210.0,Tire Rack H-4881
420,7210.0,8 Hanger Stock
421,7210.0,Rags as per quote
422,7210.0,Bulk Hardware 7 Hangar
423,7210.0,Eye Wash Station
424,7210.0,Bulk Hardware as per quote
425,7210.0,Bulk Hardware 8 Hangar
426,7210.0,3/8 Grab Hooks
427,7210.0,Bulk General Hardware
428,7210.0,Squeegee's
429,7210.0,Aluminum rivets
430,7210.0,Bulk Hardware
431,7210.0,Bulk Hardware
432,7210.0,gorilla tough tape
433,7210.0,Dust Bane
434,7210.0,Wiper Blade 26
435,7210.0,8 Hanger Stock ( General )
436,7210.0,Bulk Hardware as per quote
437,7210.0,Dead Bolt
438,7210.0,Mounted Points Die Grinder as per quote
439,7210.0,Stainless Steel Screws
440,7210.0,90deg 1hole lug
441,7210.0,8' Dipsticks
442,7210.0,FORK EXTENSION
443,7210.0,7 Hanger Stock as per quote
444,7210.0,3/8 hose Clear
445,7210.0,XBO Nut-33mm
446,7210.0,Bulk Drill Bit as per quote
447,7210.0,Half Inch Plate as per quote
448,7210.0,"3/4 "" Plywood"
449,7210.0,Keys Duplicates as per quote
450,7210.0,Bulk Hardware as per quote
451,7210.0,Bulk Hardware 8 Hangar
452,7312.0,Surface Conditioning Disc
453,7312.0,Flex Cut Grinding Wheel
454,7312.0,"6"" Bench Grinder Brush"
455,7312.0,Wire Wheel
456,7312.0,Abrasive Stock
457,7312.0,Grinding Disc as per quote
458,7312.0,Sanding Disc
459,7312.0,Abrasive Disc as per quote
460,7312.0,Sanding Disc
461,7312.0,Sand Blast Media
462,7312.0,Mat Abrasive material
463,7312.0,Abrasives
464,7312.0,7 hanger Abrasives
465,7312.0,Grinding Wheels as per quote
466,7312.0,"Grinding Disc, Wire Brush, Emery Cloth"
467,7312.0,Assorted disc
468,7312.0,Grinding Disc as per quote
469,7312.0,Sanding Wheels as per quote
470,7312.0,Abrasive Disc as per quote
471,7312.0,Grinding Disc as per quote
472,7312.0,Abrasive Bulk for AMSE
473,7312.0,Abrasive Stock
474,7312.0,Sanding Wheel as per quote
475,7312.0,Abrasive Stock order
476,7312.0,Sanding Disc as per quote
477,7312.0,"Cut off, sanding disc as per quote"
478,7312.0,Cut off wheel as per quote
479,7312.0,Wire Wheel
480,7312.0,Sanding Disc
481,7312.0,Abrasive as per Quote
482,7312.0,Abrasive Disc
483,7312.0,Sanding Disc
484,7312.0,Abrasive as per Quote
485,7312.0,Grinding Stock as per Quote
486,7312.0,Wire Brushes
487,7312.0,Sand Paper
488,7312.0,Abrasive Stock
489,7312.0,Grinding Disc as per quote
490,7312.0,Sand Paper
491,7312.0,Sanding Disc
492,7312.0,Grinding Disc
493,7312.0,Abrasive Bulk for AMSE
494,7312.0,"Sand Paper, Wire Wheels"
495,7312.0,Cut off wheel
496,7312.0,Abrasives
497,7312.0,"Grinding Disc, Cutting"
498,7312.0,8 Hanger Stock ( Abrasives)
499,7312.0,Sanding Disc
500,7312.0,Sanding Disc 4.5 Inch
501,7312.0,7 Hanger Zip Cut-off Wheels
502,7312.0,Grinding Wheels as per quote
503,7312.0,Grinding Disc as per quote
504,7312.0,Sanding Disc 4.5 Inch
505,7312.0,Abrasives
506,7312.0,Abrasives
507,7312.0,Abrasive Stock order
508,7312.0,Wire Brushes
509,7312.0,7 hanger Abrasives
510,7312.0,Sanding Disc
511,7312.0,Abrasives
512,7312.0,Suface Conditioning Disc
513,7312.0,Sand Paper
514,7312.0,Grinding Disc as per quote
515,7312.0,Abrasives
516,7312.0,Flex Cut Grinding Wheel
517,7312.0,Grinding Disc as per quote
518,7312.0,Sanding Wheels as per quote
519,7312.0,Grinding Disc as per quote
520,7312.0,Grinding Stock as per Quote
521,7312.0,"Grinding Disc, Cutting"
522,7312.0,Sanding Disc as per quote
523,7312.0,Sand Paper
524,7312.0,Abrasive Stock
525,7312.0,Cut off wheel as per quote
526,7312.0,"6"" Bench Grinder Brush"
527,7312.0,8 Hanger Stock ( Abrasives)
528,7312.0,Sanding Disc
529,7312.0,Assorted disc
530,7312.0,Sanding Disc
531,7312.0,Abrasive Disc
532,7312.0,Abrasive Discs
533,7312.0,Grinding Disc as per quote
534,7312.0,Grinding Disc as per quote
535,7312.0,Cut off wheel
536,7312.0,Sanding Disc as per quote
537,7312.0,Surface Conditioning Disc
538,7312.0,Abrasives
539,7312.0,Sanding Disc
540,7312.0,Sanding Disc as per quote
541,7312.0,Sanding Wheel as per quote
542,7312.0,Abrasives
543,7312.0,"Cut off, sanding disc as per quote"
544,7312.0,"Sand Paper, Wire Wheels"
545,7312.0,7 Hanger Zip Cut-off Wheels
546,7312.0,Sand Blast Media
547,7312.0,Grinding Disc as per quote
548,7312.0,Sanding Disc
549,7312.0,Grinder Points as per quote
550,7312.0,Abrasives
551,7312.0,Abrasives
552,7312.0,Grinding Disc as per quote
553,7312.0,Abrasive Disc
554,7312.0,Suface Conditioning Disc
555,7312.0,Sanding Disc as per quote
556,7312.0,Sanding Disc
557,7312.0,Mat Abrasive material
558,7312.0,Grinder Points as per quote
559,7312.0,"Grinding Disc, Wire Brush, Emery Cloth"
560,7312.0,Sanding Disc
561,7312.0,Abrasive Disc
562,7312.0,Abrasive Discs
563,7312.0,Grinding Disc as per quote
564,7312.0,Grinding Disc
565,7341.0,DEF Fluid
566,7341.0,john Deere Oil 15W40
567,7341.0,DEF Fluid
568,7341.0,DEF Fluid
569,7341.0,5W30 Synt 5lt jug
570,7341.0,enviromental fee
571,7341.0,Extender  1195152
572,7341.0,M4 oil - 4L
573,7341.0,Kubota Premium UDT hydraulic fluid
574,7341.0,Grease
575,7341.0,DEF Fluid
576,7341.0,Orange Coolant
577,7341.0,Hydraulic Oil 32
578,7341.0,"ATF, Brake Fluid, Oil"
579,7341.0,Cleaner Degreaser
580,7341.0,Brake Lube
581,7341.0,Oil as per quote
582,7341.0,DEF Fluid
583,7341.0,Brake Fluid
584,7341.0,Plus 50 II 15W40 .946L
585,7341.0,HY-Gard 205Lt Drum
586,7341.0,5W20 Synt lt
